iter	Passed	Remaining
595	1324	897
596	1325	895
597	1327	892
598	1328	889
599	1329	886
600	1330	883
601	1354	895
602	1355	892
603	1356	889
604	1358	886
605	1359	883
606	1360	880
607	1361	877
608	1362	874
609	1363	872
610	1365	869
611	1366	866
612	1367	863
613	1369	860
614	1370	858
615	1372	855
616	1373	852
617	1374	849
618	1376	847
619	1377	844
620	1379	841
621	1380	839
622	1382	836
623	1383	833
624	1392	835
625	1393	832
626	1395	829
627	1396	827
628	1397	824
629	1398	821
630	1400	818
631	1401	816
632	1402	813
633	1413	816
634	1414	813
635	1416	810
636	1417	807
637	1418	804
638	1419	802
639	1421	799
640	1422	796
641	1423	793
642	1424	791
643	1426	788
644	1427	785
645	1428	782
646	1429	780
647	1431	777
648	1432	774
649	1434	772
650	1436	770
651	1437	767
652	1439	764
653	1440	762
654	1445	761
655	1447	758
656	1450	757
657	1451	754
658	1452	751
659	1453	748
660	1454	746
661	1460	745
662	1465	745
663	1469	743
664	1481	746
665	1482	743
666	1484	741
667	1486	738
668	1488	736
669	1494	736
670	1497	734
671	1504	734
672	1505	731
673	1507	729
674	1508	726
675	1509	723
676	1510	720
677	1511	718
678	1513	715
679	1514	712
680	1519	711
681	1521	709
682	1522	706
683	1523	703
684	1524	701
685	1528	699
686	1529	697
687	1534	695
688	1535	693
689	1536	690
690	1538	687
691	1539	685
692	1540	682
693	1541	679
694	1542	676
695	1543	674
696	1544	671
697	1548	669
698	1550	667
699	1551	664
700	1552	662
701	1553	659
702	1554	656
703	1555	654
704	1556	651
705	1557	648
706	1558	645
707	1560	643
708	1563	641
709	1565	639
710	1566	636
711	1568	634
712	1570	632
713	1572	629
714	1573	627
715	1577	625
716	1579	623
717	1580	620
718	1582	618
719	1583	615
720	1585	613
721	1586	610
722	1587	608
723	1588	605
724	1589	602
725	1593	601
726	1594	598
727	1596	596
728	1597	593
729	1598	591
730	1599	588
731	1600	585
732	1601	583
733	1602	580
734	1603	578
735	1604	575
736	1607	573
737	1609	571
738	1610	568
739	1611	566
740	1612	563
741	1613	561
742	1614	558
743	1618	557
744	1620	554
745	1623	552
746	1625	550
747	1626	547
748	1627	545
749	1628	542
750	1629	540
751	1630	537
752	1631	535
753	1632	532
754	1633	530
755	1635	527
756	1640	526
757	1641	524
758	1642	521
759	1643	519
760	1644	516
761	1645	514
762	1646	511
763	1647	509
764	1649	506
765	1650	504
766	1654	502
767	1655	500
768	1656	497
769	1658	495
770	1659	492
771	1660	490
772	1661	487
773	1662	485
774	1663	482
775	1664	480
776	1665	478
777	1668	476
778	1670	473
779	1672	471
780	1673	469
781	1674	466
782	1676	464
783	1677	462
784	1678	459
785	1682	458
786	1685	456
787	1687	454
788	1689	451
789	1690	449
790	1692	447
791	1693	444
792	1697	443
793	1698	440
794	1699	438
795	1700	435
796	1701	433
797	1702	431
798	1704	428
799	1705	426
800	1706	423
801	1707	421
802	1708	419
803	1712	417
804	1713	415
805	1716	413
806	1717	410
807	1718	408
808	1719	405
809	1720	403
810	1721	401
811	1722	398
812	1723	396
813	1726	394
814	1728	392
815	1729	389
816	1729	387
817	1730	385
818	1731	382
819	1732	380
820	1733	378
821	1734	375
822	1735	373
823	1737	371
824	1738	368
825	1741	366
826	1742	364
827	1743	362
828	1745	359
829	1746	357
830	1747	355
831	1748	352
832	1749	350
833	1750	348
834	1751	346
835	1752	343
836	1753	341
837	1756	339
838	1757	337
839	1758	334
840	1759	332
841	1760	330
842	1761	327
843	1762	325
844	1763	323
845	1764	321
846	1765	318
847	1766	316
848	1767	314
849	1769	312
850	1773	310
851	1774	308
852	1775	305
853	1776	303
854	1777	301
855	1778	299
856	1779	296
857	1780	294
858	1781	292
859	1782	290
860	1785	288
861	1786	286
862	1787	283
863	1788	281
864	1789	279
865	1791	277
866	1792	274
867	1793	272
868	1794	270
869	1795	268
870	1796	266
871	1797	263
872	1800	261
873	1801	259
874	1802	257
875	1804	255
876	1805	253
877	1806	250
878	1807	248
879	1808	246
880	1809	244
881	1810	242
882	1811	240
883	1812	237
884	1814	235
885	1815	233
886	1816	231
887	1818	229
888	1820	227
889	1820	225
890	1822	222
891	1823	220
892	1824	218
893	1825	216
894	1826	214
895	1827	212
896	1828	210
897	1829	207
898	1830	205
899	1832	203
900	1833	201
901	1834	199
902	1835	197
903	1836	195
904	1837	192
905	1838	190
906	1840	188
907	1844	186
908	1845	184
909	1846	182
910	1847	180
911	1849	178
912	1850	176
913	1851	174
914	1852	172
915	1853	169
916	1854	167
917	1857	165
918	1859	163
919	1860	161
920	1861	159
921	1862	157
922	1862	155
923	1864	153
924	1865	151
925	1866	149
926	1867	147
927	1868	145
928	1869	142
929	1873	141
930	1874	138
931	1876	136
932	1877	134
933	1878	132
934	1880	130
935	1881	128
936	1882	126
937	1883	124
938	1884	122
939	1887	120
940	1888	118
941	1889	116
942	1891	114
943	1892	112
944	1893	110
945	1894	108
946	1895	106
947	1896	104
948	1897	101
949	1898	99
950	1901	97
951	1902	95
952	1903	93
953	1904	91
954	1906	89
955	1907	87
956	1908	85
957	1909	83
958	1910	81
959	1911	79
960	1912	77
961	1913	75
962	1914	73
963	1916	71
964	1917	69
965	1919	67
966	1920	65
967	1921	63
968	1922	61
969	1922	59
970	1923	57
971	1924	55
972	1926	53
973	1927	51
974	1928	49
975	1930	47
976	1932	45
977	1935	43
978	1936	41
979	1938	39
980	1939	37
981	1940	35
982	1941	33
983	1943	31
984	1946	29
985	1948	27
986	1949	25
987	1951	23
988	1952	21
989	1953	19
990	1955	17
991	1956	15
992	1957	13
993	1958	11
994	1959	9
995	1960	7
996	1962	5
997	1963	3
998	1964	1
999	1965	0
